Date,Open,High,Low,Close,Volume
2017-01-09,806.4,809.97,802.83,806.65,1274645
2017-01-10,807.86,809.13,803.51,804.79,1176780
2017-01-11,805.0,808.15,801.37,807.91,1065936
2017-01-12,807.14,807.39,799.17,806.36,1353057
2017-01-13,807.48,811.22,806.69,807.88,1099215
2017-01-17,807.08,807.14,800.37,804.61,1362115
2017-01-18,805.81,806.2,800.99,806.07,1294407
2017-01-19,805.12,809.48,801.8,802.18,919325
2017-01-20,806.91,806.91,801.69,805.02,1670045
2017-01-23,807.25,820.87,803.74,819.31,1963628
2017-01-24,822.3,825.9,817.82,823.87,1474010
2017-01-25,829.62,835.77,825.06,835.67,1627304
2017-01-26,837.81,838.0,827.01,832.15,2973891
2017-01-27,834.71,841.95,820.44,823.31,2965771
2017-01-30,814.66,815.84,799.8,802.32,3246573
2017-01-31,796.86,801.25,790.52,796.79,2160556
2017-02-01,799.68,801.19,791.19,795.7,2029744
2017-02-02,793.8,802.7,792.0,798.53,1532138
2017-02-03,802.99,806.0,800.37,801.49,1463448
2017-02-06,799.7,801.67,795.25,801.34,1184483
2017-02-07,803.99,810.5,801.78,806.97,1241221
2017-02-08,807.0,811.84,803.19,808.38,1155990
2017-02-09,809.51,810.66,804.54,809.56,990391
2017-02-10,811.7,815.25,809.78,813.67,1134976
2017-02-13,816.0,820.96,815.49,819.24,1213324
2017-02-14,819.0,823.0,816.0,820.45,1054732
2017-02-15,819.36,823.0,818.47,818.98,1313617
2017-02-16,819.93,824.4,818.98,824.16,1287626
2017-02-17,823.02,828.07,821.66,828.07,1611039
2017-02-21,828.66,833.45,828.35,831.66,1262337
2017-02-22,828.66,833.25,828.64,830.76,987248
2017-02-23,830.12,832.46,822.88,831.33,1472771
2017-02-24,827.73,829.0,824.2,828.64,1392202
2017-02-27,824.55,830.5,824.0,829.28,1101466
2017-02-28,825.61,828.54,820.2,823.21,2260769
2017-03-01,828.85,836.26,827.26,835.24,1496540
2017-03-02,833.85,834.51,829.64,830.63,942476
2017-03-03,830.56,831.36,825.75,829.08,896378
2017-03-06,826.95,828.88,822.4,827.78,1109037
2017-03-07,827.4,833.41,826.52,831.91,1037630
2017-03-08,833.51,838.15,831.79,835.37,989773
2017-03-09,836.0,842.0,834.21,838.68,1261517
2017-03-10,843.28,844.91,839.5,843.25,1704024
2017-03-13,844.0,848.68,843.25,845.54,1223647
2017-03-14,843.64,847.24,840.8,845.62,780198
2017-03-15,847.59,848.63,840.77,847.2,1381474
2017-03-16,849.03,850.85,846.13,848.78,977560
2017-03-17,851.61,853.4,847.11,852.12,1716471
2017-03-20,850.01,850.22,845.15,848.4,1231521
2017-03-21,851.4,853.5,829.02,830.46,2463484
2017-03-22,831.91,835.55,827.18,829.59,1401465
2017-03-23,821.0,822.57,812.26,817.58,3487056
2017-03-24,820.08,821.93,808.89,814.43,1981006
2017-03-27,806.95,821.63,803.37,819.51,1894990
2017-03-28,820.41,825.99,814.03,820.92,1620542
2017-03-29,825.0,832.76,822.38,831.41,1786321
2017-03-30,833.5,833.68,829.0,831.5,1055339
2017-03-31,828.97,831.64,827.39,829.56,1401893
2017-04-03,829.22,840.85,829.22,838.55,1671503
2017-04-04,831.36,835.18,829.04,834.57,1045363
2017-04-05,835.51,842.45,830.72,831.41,1555328
2017-04-06,832.4,836.39,826.46,827.88,1254433
2017-04-07,827.96,828.48,820.51,824.67,1057253
2017-04-10,825.39,829.35,823.77,824.73,978905
2017-04-11,824.71,827.43,817.02,823.35,1079732
2017-04-12,821.93,826.66,821.02,824.32,900480
2017-04-13,822.14,826.38,821.44,823.56,1122362
2017-04-17,825.01,837.75,824.47,837.17,895015
2017-04-18,834.22,838.93,832.71,836.82,836722
2017-04-19,839.79,842.22,836.29,838.21,954330
2017-04-20,841.44,845.2,839.32,841.65,959031
2017-04-21,842.88,843.88,840.6,843.19,1323583
2017-04-24,851.2,863.45,849.86,862.76,1372541
2017-04-25,865.0,875.0,862.81,872.3,1671972
2017-04-26,874.23,876.05,867.75,871.73,1237167
2017-04-27,873.6,875.4,870.38,874.25,2026816
2017-04-28,910.66,916.85,905.77,905.96,3276255
2017-05-01,901.94,915.68,901.45,912.57,2115993
2017-05-02,909.62,920.77,909.45,916.44,1587219
2017-05-03,914.86,928.1,912.54,927.04,1499532
2017-05-04,926.07,935.93,924.59,931.66,1422144
2017-05-05,933.54,934.9,925.2,927.13,1911275
2017-05-08,926.12,936.92,925.26,934.3,1329825
2017-05-09,936.95,937.5,929.53,932.17,1581809
2017-05-10,931.98,932.0,925.16,928.78,1173925
2017-05-11,925.32,932.53,923.03,930.6,835386
2017-05-12,931.53,933.44,927.85,932.22,1050601
2017-05-15,932.95,938.25,929.34,937.08,1108496
2017-05-16,940.0,943.11,937.58,943.0,969479
2017-05-17,935.67,939.33,918.14,919.62,2362072
2017-05-18,921.0,933.17,918.75,930.24,1596897
2017-05-19,931.47,937.76,931.0,934.01,1393024
2017-05-22,935.0,941.88,935.0,941.86,1120385
2017-05-23,947.92,951.47,942.58,948.82,1270817
2017-05-24,952.98,955.09,949.5,954.96,1034199
2017-05-25,957.33,972.63,955.47,969.54,1660474
2017-05-26,969.7,974.98,965.03,971.47,1252010
2017-05-30,970.31,976.2,969.49,975.88,1466654
2017-05-31,975.02,979.27,960.18,964.86,2448067
2017-06-01,968.95,971.5,960.01,966.95,1410458
2017-06-02,969.46,975.88,966.0,975.6,1750955
2017-06-05,976.55,986.91,975.1,983.68,1252106
2017-06-06,983.16,988.25,975.14,976.57,1814624
2017-06-07,979.65,984.15,975.77,981.08,1453874
2017-06-08,982.35,984.57,977.2,983.41,1481916
2017-06-09,984.5,984.5,935.63,949.83,3309389
2017-06-12,939.56,949.36,915.23,942.9,3763529
2017-06-13,951.91,959.98,944.09,953.4,2013337
2017-06-14,959.92,961.15,942.25,950.76,1489715
2017-06-15,933.97,943.34,924.44,942.31,2133050
2017-06-16,940.0,942.04,931.6,939.78,3094711
2017-06-19,949.96,959.99,949.05,957.37,1533336
2017-06-20,957.52,961.62,950.01,950.63,1125990
2017-06-21,953.64,960.1,950.76,959.45,1202233
2017-06-22,958.7,960.72,954.55,957.09,941958
2017-06-23,956.83,966.0,954.2,965.59,1527856
2017-06-26,969.9,973.31,950.79,952.27,1598355
2017-06-27,942.46,948.29,926.85,927.33,2579930
2017-06-28,929.0,942.75,916.0,940.49,2721406
2017-06-29,929.92,931.26,910.62,917.79,3299176
2017-06-30,926.05,926.05,908.31,908.73,2090226
2017-07-03,912.18,913.94,894.79,898.7,1710373
2017-07-05,901.76,914.51,898.5,911.71,1813884
2017-07-06,904.12,914.94,899.7,906.69,1424503
